text,label
If the number of locked sattelites falls below a threshold  the system shall automatically display a warning message  notifying the RPIC. The position inaccuracy shall be displayed in the user interface  e.g. by displaying a circle around the UAV  showing its approx. estimated position. [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
If the number of locked sattelites falls below a threshold  the system shall automatically display a warning message  notifying the RPIC. The position inaccuracy shall be displayed in the user interface  e.g. by displaying a circle around the UAV  showing its approx. estimated position. [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
If the number of locked sattelites falls below a threshold  the system shall automatically display a warning message  notifying the RPIC. The position inaccuracy shall be displayed in the user interface  e.g. by displaying a circle around the UAV  showing its approx. estimated position. [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
If the number of locked sattelites falls below a threshold  the system shall automatically display a warning message  notifying the RPIC. The position inaccuracy shall be displayed in the user interface  e.g. by displaying a circle around the UAV  showing its approx. estimated position. [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
If the number of locked sattelites falls below a threshold  the system shall automatically display a warning message  notifying the RPIC. The position inaccuracy shall be displayed in the user interface  e.g. by displaying a circle around the UAV  showing its approx. estimated position. [SEP]Time to impact is computed based on velocity and direction of flight,0
When a UAV switches to RTL  its RTL altitude is displayed in the status bar and a warning is issued if RTL altitudes conflict (i.e.  lack minimum altitude separation) for multiple UAVs in RTL mode. [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
When a UAV switches to RTL  its RTL altitude is displayed in the status bar and a warning is issued if RTL altitudes conflict (i.e.  lack minimum altitude separation) for multiple UAVs in RTL mode. [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
When a UAV switches to RTL  its RTL altitude is displayed in the status bar and a warning is issued if RTL altitudes conflict (i.e.  lack minimum altitude separation) for multiple UAVs in RTL mode. [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
When a UAV switches to RTL  its RTL altitude is displayed in the status bar and a warning is issued if RTL altitudes conflict (i.e.  lack minimum altitude separation) for multiple UAVs in RTL mode. [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
When a UAV switches to RTL  its RTL altitude is displayed in the status bar and a warning is issued if RTL altitudes conflict (i.e.  lack minimum altitude separation) for multiple UAVs in RTL mode. [SEP]Time to impact is computed based on velocity and direction of flight,0
Each GPS is equipped with RTK (real-time-kinematics) for accurate geolocation [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
Each GPS is equipped with RTK (real-time-kinematics) for accurate geolocation [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
Each GPS is equipped with RTK (real-time-kinematics) for accurate geolocation [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
Each GPS is equipped with RTK (real-time-kinematics) for accurate geolocation [SEP]The system shall track GPS coordinates within 1 meter of accuracy,1
Each GPS is equipped with RTK (real-time-kinematics) for accurate geolocation [SEP]Time to impact is computed based on velocity and direction of flight,0
The system is equipped with ground-facing sensors to compute distance from the terrain. [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
The system is equipped with ground-facing sensors to compute distance from the terrain. [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
The system is equipped with ground-facing sensors to compute distance from the terrain. [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
The system is equipped with ground-facing sensors to compute distance from the terrain. [SEP]The system shall track GPS coordinates within 1 meter of accuracy,1
The system is equipped with ground-facing sensors to compute distance from the terrain. [SEP]Time to impact is computed based on velocity and direction of flight,0
The system shall provide the capability to automatically assign safe RTL altitudes. [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
The system shall provide the capability to automatically assign safe RTL altitudes. [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
The system shall provide the capability to automatically assign safe RTL altitudes. [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
The system shall provide the capability to automatically assign safe RTL altitudes. [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
The system shall provide the capability to automatically assign safe RTL altitudes. [SEP]Time to impact is computed based on velocity and direction of flight,0
Whenever an RTL altitude is set above legal limits a persistent log shall be created [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
Whenever an RTL altitude is set above legal limits a persistent log shall be created [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
Whenever an RTL altitude is set above legal limits a persistent log shall be created [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
Whenever an RTL altitude is set above legal limits a persistent log shall be created [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
Whenever an RTL altitude is set above legal limits a persistent log shall be created [SEP]Time to impact is computed based on velocity and direction of flight,0
RTL altitudes shall be checked prior to flight to ensure that they are within legal limits. [SEP]The UAV loads an up-to-date terrain map for its planned flight route prior to deployment.,0
RTL altitudes shall be checked prior to flight to ensure that they are within legal limits. [SEP]The UAV shall adjust its altitude to compensate for changes in terrain based.,0
RTL altitudes shall be checked prior to flight to ensure that they are within legal limits. [SEP]The system cedes control to the RPIC when requested using the radio controller.,0
RTL altitudes shall be checked prior to flight to ensure that they are within legal limits. [SEP]The system shall track GPS coordinates within 1 meter of accuracy,0
RTL altitudes shall be checked prior to flight to ensure that they are within legal limits. [SEP]Time to impact is computed based on velocity and direction of flight,0
